"Date.and.time","Stock.number.","Date.of.Birth","Fish.name","Genotype","Responsible","Number.of.fish","Action"
"20-Jul-2023 12.57","26477","18-Jul-23","stl655 Tg(ctgfa:GFP-L9)","GFP/+","RM/MHM",40,"EUTHANIZED THE NURSERY STOCK"
"20-Jul-2023 12.59","26477","18-Jul-23","stl655 Tg(ctgfa:GFP-L9)","GFP/+","RM/MHM",40," ADDED STOCK IN THE Johnson Nursery"
"21-Jul-2023 16.58","25354","7-Mar-23","sox2-2A-CreERT2; ubi:nRSG","Cre/+ or +/+ ; RFP/+","LZ/MHM",40," ADDED STOCK IN THE Johnson Fish Room"
"21-Jul-2023 16.58","25354","7-Mar-23","sox2-2A-CreERT2; ubi:nRSG","Cre/+ or +/+ ; RFP/+","LZ/MHM",40," ADDED STOCK IN THE Johnson Fish Room"
"21-Jul-2023 16.59","25354","7-Mar-23","sox2-2A-CreERT2; ubi:nRSG","Cre/+ or +/+ ; RFP/+","LZ/MHM",40," ADDED STOCK IN THE Johnson Fish Room"
"21-Jul-2023 16.59","25649","6-Apr-23","EKAB","EKAB","MHM/RM",40," ADDED STOCK IN THE Johnson Fish Room"
"21-Jul-2023 16.59","25354","7-Mar-23","sox2-2A-CreERT2; ubi:nRSG","Cre/+ or +/+ ; RFP/+","LZ/MHM",40," ADDED STOCK IN THE Johnson Fish Room"
"21-Jul-2023 17.00","25422","14-Mar-23","sox2-2A-CreERT2; ubi:nRSG","Cre/+ or +/+ ; RFP/+","LZ/MHM",40," ADDED STOCK IN THE Johnson Fish Room"
"21-Jul-2023 17.00","25649","6-Apr-23","EKAB","EKAB","RM/MHM",40," ADDED STOCK IN THE Johnson Fish Room"
"21-Jul-2023 17.10","25422","14-Mar-23","sox2-2A-CreERT2; ubi:nRSG","Cre/-;RFP/+","LZ/MHM",40," ADDED STOCK IN THE Johnson Fish Room"
"21-Jul-2023 17.11","24888","29-Dec-22","hdac10-stl715","+/+","VMS/MHM",40," ADDED STOCK IN THE Johnson Fish Room"
"21-Jul-2023 17.12","25354","7-Mar-23","Tg(sox2-2a-CreER)+/-;Tg(ubi:nRSG)+/-","Cre/-;RFP/+","LZ/MHM",40," ADDED STOCK IN THE Johnson Fish Room"
"21-Jul-2023 17.12","24888","29-Dec-22","hdac10-stl715","+/-","VMS/MHM",40," ADDED STOCK IN THE Johnson Fish Room"
"21-Jul-2023 17.13","25422","7-Mar-23","Tg(sox2-2a-CreER)+/-;Tg(ubi:nRSG)+/-","Cre/-;RFP/+","LZ/MHM",40," ADDED STOCK IN THE Johnson Fish Room"
"21-Jul-2023 17.14","25422","7-Mar-23","Tg(sox2-2a-CreER)+/-;Tg(ubi:nRSG)+/-","Cre/-;RFP/+","LZ/MHM",17," ADDED STOCK IN THE Johnson Fish Room"
"21-Jul-2023 17.16","24888","29-Dec-22","hdac10-stl715","-/-","VMS/MHM",40," ADDED STOCK IN THE Johnson Fish Room"
"21-Jul-2023 17.21","29236","28-Jul-22","(-4.9mstnb:Cre-ERT2)-L11","Cre/+ or +/+","LZ/MHM",40," ADDED STOCK IN THE Johnson Fish Room"
"21-Jul-2023 17.35","23297","28-Jul-22","(-4.9mstnb:Cre-ERT2)-L11; ubi:nRSG","Cre/+ or +/+ ; RFP/+","LZ/MHM",40," ADDED STOCK IN THE Johnson Fish Room"
"21-Jul-2023 17.39","25255","22-Feb-23","ubi:nRSG+/-;sox2-2A-sfGFP+/-","+/-;+/-","MHM/RM",40," ADDED STOCK IN THE Johnson Fish Room"
"21-Jul-2023 17.39","23927","28-Jul-22","(-4.9mstnb:Cre-ERT2)-L11; ubi:nRSG","Cre/+ or +/+ ; RFP/+","LZ/MHM",40," ADDED STOCK IN THE Johnson Fish Room"
"21-Jul-2023 17.39","23926","28-Jul-22","(-4.9mstnb:Cre-ERT2)-L11; ubi:nRSG","Cre/+ or +/+ ; RFP/+","LZ/MHM",40," ADDED STOCK IN THE Johnson Fish Room"
"21-Jul-2023 17.40","23927","28-Jul-22","(-4.9mstnb:Cre-ERT2)-L11; ubi:nRSG","Cre/+ or +/+ ; RFP/+","LZ/MHM",40," ADDED STOCK IN THE Johnson Fish Room"
"21-Jul-2023 17.40","23927","28-Jul-22","(-4.9mstnb:Cre-ERT2)-L11; ubi:nRSG","Cre/+ or +/+ ; RFP/+","LZ/MHM",40," ADDED STOCK IN THE Johnson Fish Room"
"21-Jul-2023 17.40","25139","9-Feb-23","ubi:nRSG+/-;sox2-2A-sfGFP+/-","+/-;+/-","MHM/RM",40," ADDED STOCK IN THE Johnson Fish Room"
"21-Jul-2023 17.40","25139","9-Feb-23","ubi:nRSG+/-;sox2-2A-sfGFP+/-","+/-;+/-","MHM/RM",40," ADDED STOCK IN THE Johnson Fish Room"
"21-Jul-2023 17.43","25255","22-Feb-23","ubi:nRSG+/-;sox2-2A-sfGFP+/-","RFP/+;GFP/+","MHM/RM",40,"EDITED THE ADULT STOCK "
"21-Jul-2023 17.43","25139","9-Feb-23","ubi:nRSG+/-;sox2-2A-sfGFP+/-","RFP/+;GFP/+","MHM/RM",40,"EDITED THE ADULT STOCK "
"21-Jul-2023 17.45","25139","9-Feb-23","ubi:nRSG+/-;sox2-2A-sfGFP+/-","RFP/+ ; GFP/+","MHM/RM",40," ADDED STOCK IN THE Johnson Fish Room"
"21-Jul-2023 17.47","25092","1-Feb-23","ubi:nRSG+/-;sox2-2A-sfGFP+/-","RFP/+ ; GFP/+","MHM/RM",40," ADDED STOCK IN THE Johnson Fish Room"
"21-Jul-2023 17.47","25092","1-Feb-23","ubi:nRSG+/-;sox2-2A-sfGFP+/-","RFP/+ ; GFP/+","MHM/RM",40," ADDED STOCK IN THE Johnson Fish Room"
"21-Jul-2023 17.47","25092","1-Feb-23","ubi:nRSG+/-;sox2-2A-sfGFP+/-","RFP/+ ; GFP/+","MHM/RM",40," ADDED STOCK IN THE Johnson Fish Room"
"21-Jul-2023 18.04","23558","7-Jun-22","j1784:DCT-1:GFP +/-","GFP/+","MHM/RM",40," ADDED STOCK IN THE Johnson Fish Room"
"21-Jul-2023 18.08","24285","22-Oct-22","sox2-2A-sfGFP +/-","GFP/+","MHM/RM",40," ADDED STOCK IN THE Johnson Fish Room"
"21-Jul-2023 18.09","24285","22-Oct-22","sox2-2A-sfGFP +/-","GFP/+","MHM/RM",40,"EUTHANIZED THE ADULT STOCK"
"21-Jul-2023 18.09","24285","4-Oct-22","sox2-2A-sfGFP +/-","GFP/+","MHM/RM",40," ADDED STOCK IN THE Johnson Fish Room"
"21-Jul-2023 18.11","24285","4-Oct-22","sox2-2A-sfGFP +/-","GFP/+","MHM/RM",40," ADDED STOCK IN THE Johnson Fish Room"
"21-Jul-2023 18.11","24285","4-Oct-22","sox2-2A-sfGFP +/-","GFP/+","MHM/RM",40," ADDED STOCK IN THE Johnson Fish Room"
"21-Jul-2023 18.11","24285","4-Oct-22","sox2-2A-sfGFP +/-","GFP/+","MHM/RM",40," ADDED STOCK IN THE Johnson Fish Room"
"21-Jul-2023 18.11","24285","4-Oct-22","sox2-2A-sfGFP +/-","GFP/+","MHM/RM",40," ADDED STOCK IN THE Johnson Fish Room"
"21-Jul-2023 19.22","18143","21-Jul-23","test fish formate","Enter genotype","Enter owner name",1," ADDED STOCK IN THE Walker Nursery"
"21-Jul-2023 19.23","18143","21-Jul-23","test fish formate","Enter genotype","Enter owner name",1,"EUTHANIZED THE NURSERY STOCK"
"24-Jul-2023 11.24","29236","28-Jul-22","(-4.9mstnb:Cre-ERT2)-L11","Cre/+ or +/+","LZ/MHM",40,"EUTHANIZED THE ADULT STOCK"
"24-Jul-2023 11.34","23926","28-Jul-22","(-4.9mstnb:Cre-ERT2)-L11","Cre/+ or +/+","VMS/MHM",40," ADDED STOCK IN THE Johnson Fish Room"
"24-Jul-2023 18.02","26522","20-Jul-23","stl236-plecb; stl261-pleca","+/+ or +/- ; +/+ or +/-","VMS/MHM",110," ADDED STOCK IN THE Johnson Nursery"
"24-Jul-2023 19.32","26521","20-Jul-23","Tu","wildtype","YX/MHM",40," ADDED STOCK IN THE Walker Nursery"
"24-Jul-2023 19.33","26521","20-Jul-23","Tu","wildtype","YX/MHM",40," ADDED STOCK IN THE Walker Nursery"
"24-Jul-2023 19.34","26520","20-Jul-23","cnr1 CR KO F0","F0/F0","YX/MHM",26," ADDED STOCK IN THE Walker Nursery"
"24-Jul-2023 19.34","26520","20-Jul-23","cnr1 CR KO F0","F0/F0","YX/MHM",26," ADDED STOCK IN THE Walker Nursery"
"24-Jul-2023 19.36","26519","20-Jul-23","lhx4 CR KO F0","F0/F0","YX/MHM",26," ADDED STOCK IN THE Walker Nursery"
"24-Jul-2023 19.37","26518","20-Jul-23","lhx4 CR KO F0","F0/F0","YX/MHM",40," ADDED STOCK IN THE Walker Nursery"
"24-Jul-2023 19.37","26518","20-Jul-23","lhx4 CR KO F0","F0/F0","YX/MHM",40," ADDED STOCK IN THE Walker Nursery"
"24-Jul-2023 19.37","26518","20-Jul-23","lhx4 CR KO F0","F0/F0","YX/MHM",40," ADDED STOCK IN THE Walker Nursery"
"25-Jul-2023 16.35","26523","21-Jul-23","scn4ab dgRNA crisper F0","F0/F0","MHM/RM/LZ",40," ADDED STOCK IN THE Walker Nursery"
"25-Jul-2023 16.36","26524","21-Jul-23","ndnf dgRNA crisper F0","F0/F0","MHM/RM/LZ",40," ADDED STOCK IN THE Walker Nursery"
"25-Jul-2023 16.37","26525","21-Jul-23","TU uninjected control","+/+","MHM/RM/LZ",40," ADDED STOCK IN THE Walker Nursery"
"25-Jul-2023 16.41","26502","19-Jul-23","EKAB","+/+","MHM/RM/YX",40," ADDED STOCK IN THE Johnson Nursery"
"25-Jul-2023 16.44","26486","18-Jul-23","pdk2a dgRNP injected F0","F0","MHM/MED/RM",40," ADDED STOCK IN THE Walker Nursery"
"25-Jul-2023 16.46","26487","18-Jul-23","pdk2b dgRNP injected F0","F0","MHM/MED/RM",40," ADDED STOCK IN THE Walker Nursery"
"25-Jul-2023 16.47","26488","18-Jul-23","pdk2a adn pdk2b dgRNP injected F0","F0","MHM/MED/RM",40," ADDED STOCK IN THE Walker Nursery"
"25-Jul-2023 16.48","26489","18-Jul-23","pdp1 dgRNP injected F0","F0","MHM/MED/RM",40," ADDED STOCK IN THE Walker Nursery"
"25-Jul-2023 16.49","26490","18-Jul-23","TU uninjected control","+/+","MHM/MED/RM",40," ADDED STOCK IN THE Walker Nursery"
"25-Jul-2023 17.47","23926","28-Jul-2022","(-4.9mstnb:Cre-ERT2)-L11","Cre/+ or +/+","VMS/MHM",40," TRANSFERRED STOCK FROM Johnson Fish Room TANK LOCATION- J4-3_C4 TO J4-3_C9"
"26-Jul-2023 17.45","25453","14-Mar-2023","syt11b-NTR2.0-mcherry (knockin F0)","F0/F0","VMS/MHM",7," ADDED STOCK IN THE Streisinger Fish Room"
"26-Jul-2023 17.47","25453","14-Mar-2023","syt11b-NTR2.0-mcherry (knockin F0)","F0/F0","VMS/MHM",16," ADDED STOCK IN THE Streisinger Fish Room"
"26-Jul-2023 17.52","25453","14-Mar-2023","syt11b-NTR2.0-mcherry (knockin F0)","F0/F0","VMS/MHM",1," ADDED STOCK IN THE Streisinger Fish Room"
"26-Jul-2023 17.53","25453","14-Mar-2023","syt11b-NTR2.0-mcherry (knockin F0)","F0/F0","VMS/MHM",1,"EUTHANIZED THE ADULT STOCK"
"26-Jul-2023 17.55","25453","14-Mar-2023","syt11b-NTR2.0-mcherry (knockin F0)","F0/F0","VMS/MHM",3," ADDED STOCK IN THE Streisinger Fish Room"
"27-Jul-2023 09.17","25694","10-Apr-2023","syt11b-NTR2.0-mcherry (knockin F0)","F0/F0","VMS/MHM",30," ADDED STOCK IN THE Streisinger Fish Room"
"27-Jul-2023 09.19","25453","14-Mar-2023","syt11b-NTR2.0-mcherry (knockin F0)","F0/F0","VMS/MHM",10," ADDED STOCK IN THE Streisinger Fish Room"
"27-Jul-2023 09.20","25985","10-May-2023","hivep3b-CreERT2-mcherry(knockin F0)","F0/F0","VMS/MHM",30," ADDED STOCK IN THE Streisinger Fish Room"
"27-Jul-2023 09.22","25984","10-May-2023","hivep3b-NTR2.0-mcherry (knockin F0)","F0/F0","VMS/MHM",30," ADDED STOCK IN THE Streisinger Fish Room"
"27-Jul-2023 09.23","25695","10-Apr-2023","hivep3b-NTR2.0-mcherry (knockin F0)","F0/F0","VMS/MHM",30," ADDED STOCK IN THE Streisinger Fish Room"
"27-Jul-2023 18.50","26331","28-Jun-2023","hivep3b-CreERT2-mcherry(knockin F0)","F0/F0","Enter owner name",30," ADDED STOCK IN THE Walker Nursery"
"27-Jul-2023 18.52","26388","27-Jul-2023","hivep3b-CreERT2-mcherry(knockin F0)","F0/F0","VMS/MHM",200," ADDED STOCK IN THE Walker Nursery"
"27-Jul-2023 18.55","26444","12-Jul-2023","hivep3b-NTR2.0-mcherry (knockin F0)","F0/F0","VMS/MHM",60," ADDED STOCK IN THE Walker Nursery"
"27-Jul-2023 18.57","26388","27-Jul-2023","hivep3b-CreERT2-mcherry(knockin F0)","F0/F0","VMS/MHM",200,"EUTHANIZED THE NURSERY STOCK"
"27-Jul-2023 18.57","26331","28-Jun-2023","hivep3b-CreERT2-mcherry(knockin F0)","F0/F0","Enter owner name",30,"EUTHANIZED THE NURSERY STOCK"
"27-Jul-2023 18.59","26388","07-Jul-2023","hivep3b-CreERT2-mcherry(knockin F0)","F0/F0","VMS/MHM",200," ADDED STOCK IN THE Walker Nursery"
"27-Jul-2023 19.01","26331","28-Jun-2023","hivep3b-CreERT2-mcherry(knockin F0)","F0/F0","VMS/MHM",30," ADDED STOCK IN THE Walker Nursery"
"28-Jul-2023 10.22","24507","27/09/22","vamp4_74","mut","VMS",2," TRANSFERRED STOCK FROM Johnson Fish Room TANK LOCATION- J4-4_A3 TO J4-4_A15"
"28-Jul-2023 10.23","24916","1-May-2023","Tg(olig2:GFP)","GFP/+","VMS",30,"EUTHANIZED THE ADULT STOCK"
"28-Jul-2023 10.26","24916","1-May-2023","Tg(olig2:GFP)","GFP/+","VMS",7," TRANSFERRED STOCK FROM Johnson Fish Room TANK LOCATION- J4-4_C3 TO J4-4_B15"
"28-Jul-2023 10.27","24916","1-May-2023","Tg(olig2:GFP)","GFP/+","VMS",23,"EUTHANIZED THE ADULT STOCK"
"28-Jul-2023 10.29","24797","11-Sep-2022","vamp4_74","het","VMS",25," TRANSFERRED STOCK FROM Johnson Fish Room TANK LOCATION- J4-4_G6 TO J4-4_C2"
"28-Jul-2023 12.03","26048","19-May-23","EKAB","+/+","MAG/MHM",40,"EDITED THE ADULT STOCK "
"28-Jul-2023 12.04","26048","19-May-23","EKAB","+/+","MAG/MHM",40,"EDITED THE ADULT STOCK "
"28-Jul-2023 12.04","26048","19-May-23","EKAB","+/+","MAG/MHM",40,"EDITED THE ADULT STOCK "
"28-Jul-2023 12.04","26048","19-May-23","EKAB","+/+","MAG/MHM",40,"EDITED THE ADULT STOCK "
"28-Jul-2023 12.05","26048","19-May-23","EKAB","+/+","MAG/MHM",40,"EDITED THE ADULT STOCK "
"28-Jul-2023 12.05","26048","19-May-23","EKAB","+/+","MAG/MHM",40,"EDITED THE ADULT STOCK "
"28-Jul-2023 12.05","26048","19-May-23","EKAB","+/+","MAG/MHM",40,"EDITED THE ADULT STOCK "
"28-Jul-2023 12.05","26048","19-May-23","EKAB","wildtype","MAG/MHM",40,"EDITED THE ADULT STOCK "
"28-Jul-2023 12.07","25917","03-May-2023","EKAB","wildtype","MAG/MHM",40," ADDED STOCK IN THE Streisinger Fish Room"
"28-Jul-2023 16.58","24799","11-Sep-2022","fhdc5_44","wt","VMS",25,"EUTHANIZED THE ADULT STOCK"
"28-Jul-2023 16.58","24799","11-Sep-2022","fhdc5_44","mut","VMS",25,"EUTHANIZED THE ADULT STOCK"
"28-Jul-2023 16.59","24797","11-Sep-2022","vamp4_74","wt","VMS",25,"EUTHANIZED THE ADULT STOCK"
"28-Jul-2023 16.59","24797","11-Sep-2022","vamp4_74","wt","VMS",25,"EUTHANIZED THE ADULT STOCK"
"28-Jul-2023 16.59","24797","11-Sep-2022","vamp4_74","wt","VMS",25,"EUTHANIZED THE ADULT STOCK"
"28-Jul-2023 16.59","24801","11-Sep-2022","chrnb2_75","wt","VMS",25,"EUTHANIZED THE ADULT STOCK"
"28-Jul-2023 16.59","24801","11-Sep-2022","chrnb2_75","mut","VMS",25,"EUTHANIZED THE ADULT STOCK"
"28-Jul-2023 16.59","24801","11-Sep-2022","chrnb2_75","mut","VMS",25,"EUTHANIZED THE ADULT STOCK"
"28-Jul-2023 16.59","24801","11-Sep-2022","chrnb2_75","mut","VMS",25,"EUTHANIZED THE ADULT STOCK"
"28-Jul-2023 16.59","24801","11-Sep-2022","chrnb2_75","mut","VMS",25,"EUTHANIZED THE ADULT STOCK"
"28-Jul-2023 16.59","24801","11-Sep-2022","chrnb2_75","mut","VMS",25,"EUTHANIZED THE ADULT STOCK"
"28-Jul-2023 16.59","24802","11-Sep-2022","chrnb2_89","wt","VMS",25,"EUTHANIZED THE ADULT STOCK"
"28-Jul-2023 16.59","24802","11-Sep-2022","chrnb2_89","mut","VMS",25,"EUTHANIZED THE ADULT STOCK"
"28-Jul-2023 16.59","24802","11-Sep-2022","chrnb2_89","mut","VMS",25,"EUTHANIZED THE ADULT STOCK"
"28-Jul-2023 16.59","24802","11-Sep-2022","chrnb2_89","mut","VMS",25,"EUTHANIZED THE ADULT STOCK"
"28-Jul-2023 16.59","24802","11-Sep-2022","chrnb2_89","mut","VMS",25,"EUTHANIZED THE ADULT STOCK"
"28-Jul-2023 16.59","24802","11-Sep-2022","chrnb2_89","mut","VMS",25,"EUTHANIZED THE ADULT STOCK"
"28-Jul-2023 16.59","24802","11-Sep-2022","chrnb2_89","mut","VMS",25,"EUTHANIZED THE ADULT STOCK"
"28-Jul-2023 16.59","24802","11-Sep-2022","chrnb2_89","mut","VMS",25,"EUTHANIZED THE ADULT STOCK"
"28-Jul-2023 17.33","25983","5-Oct-2023","syt11a_51 ; syt11b_75","+/- ; +/-","VMS",12," TRANSFERRED STOCK FROM Johnson Fish Room TANK LOCATION- J4-4_F7 TO J4-4_C7"
"28-Jul-2023 17.33","25983","5-Oct-2023","syt11a_51 ; syt11b_75","wt/het ; wt/het","VMS",28,"EUTHANIZED THE ADULT STOCK"
"28-Jul-2023 17.40","26094","26-May-2023","fhdc5_vms2_44 ","+/+ or +/- or -/-","VMS/MHM",40," ADDED STOCK IN THE Johnson Fish Room"
"31-Jul-2023 17.33","26578","27-Jul-2023","stl236 - plecb ; stl261 - pleca","+/+ or +/- ; +/+ or +/-","VMS/MHM",120," ADDED STOCK IN THE Johnson Nursery"
"02-Aug-2023 17.10","23133","22-Mar-2022","huc-mcherry-NTR-L1","Enter genotype","MHM/RM",30,"EUTHANIZED THE ADULT STOCK"
"02-Aug-2023 17.14","23133","22-Mar-2022","huc-mcherry-NTR-L1","Enter genotype","RM/MHM",30," ADDED STOCK IN THE Johnson Fish Room"
"02-Aug-2023 17.15","25784","20/04/23","syt11a_51","wt/het/mut","VMS",30,"EUTHANIZED THE ADULT STOCK"
"02-Aug-2023 17.16","26162","1-Jun-2023","syt11b_vms1_75","(+/+ or +/- or -/-)","VMS",24," TRANSFERRED STOCK FROM Johnson Nursery TO J4-4_E6 IN Johnson Room"
"02-Aug-2023 17.18","26162","1-Jun-2023","syt11b_vms1_75","(+/+ or +/- or -/-)","VMS",40," TRANSFERRED STOCK FROM Johnson Nursery TO J4-4_E7 IN Johnson Room"
"02-Aug-2023 17.19","26162","1-Jun-2023","syt11b_vms1_75","(+/+ or +/- or -/-)","VMS",24,"EDITED THE ADULT STOCK "
"02-Aug-2023 17.21","26163","1-Jun-2023","syt11b_vms1_75 (+/+ or +/-); syt11a_vms1_51 (+/+ or +/-)","(+/+ or+/- );(+/+ or +/-)","VMS",20," TRANSFERRED STOCK FROM Johnson Nursery TO J4-4_C8 IN Johnson Room"
